model,dataset,queries,covered_queries,coverage,coverage_ci_low,coverage_ci_high,mean_changes_query_level,mean_changes_ci_low,mean_changes_ci_high,mean_proximity_query_level,mean_proximity_ci_low,mean_proximity_ci_high,mean_diversity_query_level,mean_diversity_ci_low,mean_diversity_ci_high,bootstrap_repetitions,bootstrap_seed
logistic_regression,german_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,4.275,3.8,4.725,0.38697615560677356,0.3253982957000864,0.4460989198197765,0.11132026473318604,0.09301367981529496,0.12782076490924804,10000,2026
logistic_regression,give_me_some_credit,10,5,0.5,0.236593090512564,0.7634069094874361,5.55,4.55,6.9,55.67187066362717,36.12199206092654,75.2217492663278,5.562534394911946,0.02372239491194686,13.327692952380948,10000,2026
logistic_regression,taiwan_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,13.458333333333332,12.441666666666666,14.483333333333334,1.1967607973516987,0.9343689104412658,1.505030599100915,0.5508720128346967,0.43021261089067575,0.7015335818364398,10000,2026
decision_tree,german_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,2.7,2.5,2.85,0.1304708057236147,0.09924769143738593,0.17026007379597616,0.11377985050737856,0.09817461696517168,0.1356129132454624,10000,2026
decision_tree,give_me_some_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,4.008333333333333,3.1416666666666666,4.858541666666664,0.5788821794601257,0.39841848083415815,0.7556776706011757,0.19818266907026943,0.14630415650286457,0.25656853737093976,10000,2026
decision_tree,taiwan_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,10.233333333333334,9.008333333333335,11.466666666666667,0.420859785739233,0.26750053319171246,0.5714973398615033,0.41601960390529474,0.2485652696378637,0.5995182691985714,10000,2026
random_forest,german_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,3.2,2.65,3.75,0.18401470317551777,0.1496635453179519,0.2238641174193315,0.12850729456768778,0.09939791756698353,0.16003556001712596,10000,2026
random_forest,give_me_some_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,4.533333333333333,3.891666666666667,5.266874999999998,17.791520210256785,10.414350267179115,24.46097495299226,5.850077605814703,2.256042741538312,9.656029517881958,10000,2026
random_forest,taiwan_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,12.450000000000001,12.0,13.008333333333335,1.4476712991270162,0.6932925910063017,2.7665440595302266,1.6260100156750859,0.29643629032472457,4.205940139349215,10000,2026
adaboost,german_credit,10,9,0.9,0.5958499732047615,0.9821237869049271,3.4259259259259256,3.0,3.935185185185185,0.35710960258010815,0.28912885335638144,0.4199715633236232,0.12857147715996026,0.08638888888888886,0.17103184320880946,10000,2026
adaboost,give_me_some_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,6.45,6.175,6.725,1.3296216551875202,1.1815555832864493,1.4921774386593134,0.1626170040210478,0.13522554668074113,0.1917148057761764,10000,2026
adaboost,taiwan_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,14.433333333333334,13.691666666666668,15.083333333333334,1.3306048095800471,1.0714663802824793,1.5737647451125507,0.344487433870435,0.21050323001725085,0.4792317818564293,10000,2026
xgboost,german_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,3.266666666666667,2.825,3.7166666666666663,0.23445688882486632,0.16661327337222698,0.30881935441275327,0.1332786740932808,0.08839464941659463,0.17721047808828702,10000,2026
xgboost,give_me_some_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,5.375,4.625,6.125,9.8874325831925,1.586195123233466,18.31839915778412,0.24812151506658786,0.11912370608732015,0.42689406820328185,10000,2026
xgboost,taiwan_credit,10,10,1.0,0.7224672001371107,0.9999999999999999,13.858333333333334,13.283333333333335,14.366666666666669,1.0088455816380109,0.7989174322848126,1.230941181818419,0.4613361494009537,0.3204308095627455,0.6740566483932108,10000,2026
